"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CAP";"COPYRIGHT";"CUI_PURCHASE_URL";"DATASHEETURL";"DCR";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"ESR";"FREQUENCY";"HEIGHT";"IDC";"IDSMAX";"IMAX";"IRMS";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MKTG_PACKAGE";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"NSID";"PACKAGE";"POPULARITY";"POWER";"PURCHASE-URL";"QGTYP";"QUANTITY";"RDSON45";"RDSONAT10V";"REFDES";"RESISTANCE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SOURCELIBRARY";"SPICEPREFIX";"TOLERANCE";"TYPE";"VDC";"VDSMAX";"VENDOR";
"1";"2.2uF";"RCL_C-EUC0603";"RCL_C0603";"C37";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"2.2uF";"RCL_C-EUC1206";"RCL_C1206";"C38";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";
"1";"2.2uH";"5V-LM3150MH_XAL5030-222MEB";"5V-LM3150MH_XAL5030";"L2";"";"";"";"";"";"";"";"";"0.01";"";"";"";"";"";"";"";"";"9.2";"";"";"";"2.2E6";"Coilcraft";"XAL5030222MEB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Coilcraft";
"2";"220uF";"RCL_C-EUC1210";"RCL_C1210";"C40, C41";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";
"5";"227AVG050MGBJ_227AVG050MGBJ";"227AVG050MGBJ_227AVG050MGBJ";"227AVG050MGBJ_CAPPRD500W60D1025H1350";"C31, C32, C33, C34, C35";"Aluminum Organic Polymer Capacitors 220uF 50V 20% POLYMER/IC";"227AVG050MGBJ";"https://www.arrow.com/en/products/227avg050mgbj/illinois-capacitor?region=nac";"";"";"";"";"";"";"Aluminum Organic Polymer Capacitors 220uF 50V 20% POLYMER/IC";"";"";"";"";"";"";"13.5mm";"";"";"";"";"";"Cornell Dubilier";"227AVG050MGBJ";"";"";"";"598-227AVG050MGBJ";"https://www.mouser.co.uk/ProductDetail/CDE-Illinois-Capacitor/227AVG050MGBJ?qs=3tP%252BN51vMXcM1n2KkRxEhg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"2K";"RCL_R-US_R0603";"RCL_R0603";"R25, R27, R28, R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";
"1";"3.3uF";"5V-LM3150MH_293D335X9035C2TE3";"5V-LM3150MH_6032-28";"C20";"";"";"";"";"3.3E6";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"0.23";"";"VishaySprague";"293D335X9035C2TE3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35.0";"";"VishaySprague";
"1";"3.3uH";"XAL4030-332MEB_XAL4030-332MEB";"XAL4030-332MEB_XAL4030-332MEB";"L3";"Fixed Inductors XAL4030 High Current 3.3 uH 20 % 6.6 A";"";"";"";"";"";"";"";"";"Fixed Inductors XAL4030 High Current 3.3 uH 20 % 6.6 A";"";"";"";"";"";"";"mm";"";"";"";"";"";"COILCRAFT";"XAL4030-332MEB";"";"";"";"994-XAL4030-332MEB";"https://www.mouser.com/Search/Refine.aspx?Keyword=994-XAL4030-332MEB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3.9uH";"5V-LM3150MH_NPI43C3R9MTRF";"5V-LM3150MH_IND_NPI43C";"L4";"";"";"";"";"";"";"";"";"0.07";"";"";"";"";"";"";"";"";"2.0";"";"";"";"3.9E6";"NIC Components";"NPI43C3R9MTRF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NIC Components";
"1";"30.073uF 58.181mOhm";"12V--LM3150_PCV1E330MCL1GS";"12V--LM3150_PCV1E330MCL1GS";"C16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
